[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:34] Speech error: run loop already started
[2025-05-30 16:22:35] Speech error: run loop already started
[2025-05-30 16:22:35] Speech error: run loop already started
[2025-05-30 16:22:35] Speech error: run loop already started
[2025-05-30 16:22:35] Speech error: run loop already started
[2025-05-30 16:22:36] Speech error: run loop already started
[2025-05-30 16:22:36] Speech error: run loop already started
[2025-05-30 16:22:36] Speech error: run loop already started
[2025-05-30 16:22:37] Speech error: run loop already started
[2025-05-30 16:22:37] Speech error: run loop already started
[2025-05-30 16:22:37] Speech error: run loop already started
[2025-05-30 16:22:37] Speech error: run loop already started
[2025-05-30 16:22:37] Speech error: run loop already started
[2025-05-30 16:22:37] Speech error: run loop already started
[2025-05-30 16:22:37] Speech error: run loop already started
[2025-05-30 16:22:37] Speech error: run loop already started
[2025-05-30 16:22:38] Speech error: run loop already started
[2025-05-30 16:22:38] Speech error: run loop already started
[2025-05-30 16:22:40] Speech error: run loop already started
[2025-05-30 16:22:40] Speech error: run loop already started
[2025-05-30 16:22:40] Speech error: run loop already started
[2025-05-30 16:22:40] Speech error: run loop already started
[2025-05-30 16:22:40] Speech error: run loop already started
[2025-05-30 16:22:41] Speech error: run loop already started
[2025-05-30 16:22:41] Speech error: run loop already started
[2025-05-30 16:22:41] Speech error: run loop already started
[2025-05-30 16:22:41] Speech error: run loop already started
[2025-05-30 16:22:42] Speech error: run loop already started
[2025-05-30 16:22:42] Speech error: run loop already started
[2025-05-30 16:22:42] Speech error: run loop already started
[2025-05-30 16:22:42] Speech error: run loop already started
[2025-05-30 16:22:42] Speech error: run loop already started
[2025-05-30 16:22:42] Speech error: run loop already started
[2025-05-30 16:22:42] Speech error: run loop already started
[2025-05-30 16:22:42] Speech error: run loop already started
[2025-05-30 16:22:42] Speech error: run loop already started
[2025-05-30 16:22:43] Speech error: run loop already started
[2025-05-30 16:22:43] Speech error: run loop already started
[2025-05-30 16:22:43] Speech error: run loop already started
[2025-05-30 16:22:43] Speech error: run loop already started
[2025-05-30 16:22:43] Speech error: run loop already started
[2025-05-30 16:22:43] Speech error: run loop already started
